batch_id,variable_address,ref_count
38,0x0040a5b6,4
38,0x0040a5b8,3
38,0x0040a5f6,3
39,0x0040a5e4,4
40,0x0040a5e6,4
41,0x0040a5f0,3
41,0x0040a5f2,3
41,0x0040a730,3
42,0x0040a606,3
43,0x0040a67c,3
44,0x0040a692,3
44,0x0040a696,3
45,0x0040a74c,3
46,0x0040a78b,4
46,0x0040a78c,4
47,0x0040a78e,4
48,0x0040aaa7,3
48,0x0040aaa8,4
48,0x0040c05f,6
48,0x0040c060,3
49,0x0040aac6,3
50,0x0040adf2,3
51,0x0040ae5e,3
51,0x0040b54a,3
52,0x0040ae6e,4
53,0x0040af0b,4
54,0x0040aff0,4
55,0x0040aff2,3
55,0x0040aff4,3
55,0x0040affc,3
56,0x0040b042,4
56,0x0040b04c,3
56,0x0040b04e,4
57,0x0040b092,3
58,0x0040b0ac,4
59,0x0040b202,3
60,0x0040b22e,4
61,0x0040b2b6,3
61,0x0040b2b8,3
61,0x0040b2ba,3
62,0x0040b334,4
63,0x0040b34c,3
64,0x0040b3fe,3
64,0x0040b3ff,3
64,0x0040b400,3
64,0x0040b506,3
64,0x0040b50a,4
64,0x0040b50e,3
64,0x0040b51b,4
65,0x0040b52c,4
66,0x0040b542,3
66,0x0040b544,3
66,0x0040b547,3
67,0x0040b55a,4
67,0x0040b55b,4
68,0x0040b55e,3
68,0x0040b562,4
68,0x0040b564,3
68,0x0040b568,4
69,0x0040b572,4
69,0x0040b574,4
69,0x0040b576,3
69,0x0040b578,4
70,0x0040b596,3
70,0x0040bbbc,4
70,0x0040c14c,4
70,0x0040c1c0,4
71,0x0040b5d5,3
71,0x0040b5d6,4
72,0x0040b5e0,3
73,0x0040b608,3
74,0x0040b628,3
75,0x0040b644,4
75,0x0040b646,4
76,0x0040b64c,4
77,0x0040b6e8,3
78,0x0040b90a,4
78,0x0040b90b,3
79,0x0040b9a2,4
79,0x0040b9a4,3
80,0x0040b9c8,3
80,0x0040b9ca,4
80,0x0040b9cc,3
80,0x0040b9ce,4
81,0x0040b9e0,3
82,0x0040ba12,4
83,0x0040ba6a,3
83,0x0040ba6c,3
84,0x0040ba6e,3
84,0x0040ba70,3
84,0x0040ba72,3
84,0x0040ba74,3
84,0x0040ba76,4
85,0x0040bb0e,4
86,0x0040bb4e,4
87,0x0040bc88,4
88,0x0040c27c,3
89,0x0040c28a,3
