# Assembler.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 291

FUN_100370dd|CSubFileAssemblerGTIS38_ValidateHeaderFile
FUN_10037275|CSubFileAssemblerGTIS38_ValidateHeaderRecords
FUN_10037390|CSubFileAssemblerGTIS38_ValidateInput
FUN_100374dd|CSubFileAssemblerGTIS38_ValidateSubfiles
FUN_100376cb|CSubFileAssemblerGTIS38_ValidateVersion
FUN_10037bb2|CSubFileAssemblerGTIS38_VerifyBlock
FUN_10037cf9|CSubFileAssemblerGTIS38_VerifyBlocks
FUN_10037e60|CSubFileAssemblerGTIS38_VerifyTables
FUN_10037fa8|CSubFileAssemblerGTIS38_WriteAssemblyOutput
FUN_10038411|CSubFileAssemblerGTIS38_WriteBDSHeader
FUN_1003891a|CSubFileAssemblerGTIS38_WriteCreationDate
FUN_10038b4f|CSubFileAssemblerGTIS38_WriteEndBootLoaderVersion
FUN_10039685|CSubFileAssemblerGTIS38_WriteProductId
FUN_100398be|CSubFileAssemblerGTIS38_WriteStartBootLoaderVersion

# CSubFileAssemblerGTIS45 class (30 methods)
FUN_10039eee|CSubFileAssemblerGTIS45_CalculateHarnessKeyCompatibilityListValue
FUN_1003a0b4|CSubFileAssemblerGTIS45_CreateBlocks
FUN_1003a6c1|CSubFileAssemblerGTIS45_CreateIndexTable
FUN_1003ac19|CSubFileAssemblerGTIS45_CreateInstanceOfCalBinImageComponent
FUN_1003ae35|CSubFileAssemblerGTIS45_FillHolesInBlock
FUN_1003af8c|CSubFileAssemblerGTIS45_GetASCIIHeaderRecords
FUN_1003b506|CSubFileAssemblerGTIS45_GetBytesFromCalibration
FUN_1003b654|CSubFileAssemblerGTIS45_GetDataFromCalibration
FUN_1003b7c3|CSubFileAssemblerGTIS45_GetIndexTableSections
FUN_1003b93b|CSubFileAssemblerGTIS45_IsOddParity
FUN_1003ba64|CSubFileAssemblerGTIS45_IsOptionTypePJ
FUN_1003bc71|CSubFileAssemblerGTIS45_SetDataPlate
FUN_1003bec1|CSubFileAssemblerGTIS45_SetEngineBuildDate
FUN_1003c0d0|CSubFileAssemblerGTIS45_SetHarnessKeyCompatListValueInDataPlate
FUN_1003c2cf|CSubFileAssemblerGTIS45_SetHexBinaryValueInDataPlate
FUN_1003c56d|CSubFileAssemblerGTIS45_SetProdStructOptionValueInDataPlate
FUN_1003cab1|CSubFileAssemblerGTIS45_SetStringValueInDataPlate
