address,ref_count,range,tier,batch_id
0x003fcf12,8,003fxxxx,in_window,59
0x003fcfae,8,003fxxxx,in_window,64
0x003fcfbc,8,003fxxxx,in_window,65
0x003fee64,8,003fxxxx,clean,65
0x003fd048,8,003fxxxx,in_window,70
0x003fee98,8,003fxxxx,clean,74
0x003fd174,8,003fxxxx,in_window,80
0x003fd17f,8,003fxxxx,in_window,80
0x003fe9c4,8,003fxxxx,clean,82
0x003fea6e,8,003fxxxx,clean,88
0x003fd21b,8,003fxxxx,in_window,90
0x003fd26c,8,003fxxxx,in_window,96
0x0040a5e0,7,0040xxxx,clean,0
0x0040b234,7,0040xxxx,clean,1
0x00408868,7,0040xxxx,clean,2
0x0040b29c,7,0040xxxx,clean,2
0x0040b2bc,7,0040xxxx,clean,2
0x0040b6bc,7,0040xxxx,clean,4
0x0040b6c0,7,0040xxxx,clean,4
0x0040a5dc,7,0040xxxx,clean,16
0x0040a67a,7,0040xxxx,clean,19
0x0040a78a,7,0040xxxx,clean,21
0x0040b2ca,7,0040xxxx,clean,40
0x0040b32a,7,0040xxxx,clean,42
0x0040b34a,7,0040xxxx,clean,43
0x0040b57c,7,0040xxxx,clean,51
0x0040b57f,7,0040xxxx,clean,51
0x0040b586,7,0040xxxx,clean,51
0x0040b638,7,0040xxxx,clean,55
0x0040ba56,7,0040xxxx,clean,55
0x0040b8e4,7,0040xxxx,clean,62
0x0040b95a,7,0040xxxx,clean,63
0x0040b9b8,7,0040xxxx,clean,69
0x0040b9b9,7,0040xxxx,clean,69
0x0040b9c2,7,0040xxxx,clean,69
0x0040b9d8,7,0040xxxx,clean,71
0x0040b9dc,7,0040xxxx,clean,71
0x0040b9e2,7,0040xxxx,clean,71
0x0040b9ee,7,0040xxxx,clean,72
0x0040ba10,7,0040xxxx,clean,72
0x0040ba13,7,0040xxxx,clean,72
0x0040ba62,7,0040xxxx,clean,73
0x003fb41c,7,003fxxxx,in_window,5
0x003fed90,7,003fxxxx,clean,10
