parameter,internal_name,address,size,unit,scale,description
AFC_Low_Boost_Fueling_Table,,0x018D0A00,2,MM3S,0.06793478400,AFC Low Boost look-up table defining fueling limit
AFC_Low_Boost_Pressure_Axis,,0x018D0900,2,IN_HG,0.0159062501,Bst Pressure axis used by AFC Low bst to determine fuel limit
AFC_Low_Boost_Time_Delay,,0x0111D518,2,SEC,0.02,Time allowed before AFC Low Boost Error is set
AFC_Low_Boost_Timer,,0x01104C06,2,SEC,0.02,increment timer if Fueling Control State = AFC Derate
AFC_Neg_Fueling_Slew_Rate,,0x0111D520,2,MM3S,0.06793478400,AFC Low Boost neg slew rate
AFC_Neg_Select_Slew_Rate,,0x0111D51C,2,UNITLESS,0.000015625,decrement AFC_Select by this value
AFC_Normal_Boost_Time_Delay,,0x0111D51E,2,SEC,0.02,Time allowed before AFC Low Boost Error is Cleared
AFC_Normal_Boost_Timer,,0x01104C04,2,SEC,0.02,increment timer if Fueling Control State <> AFC Derate
AFC_Override_Enable,AFENMAN,0x01106B1A,2,UNITLESS,8,[AFENMAN] Bit 3 of 0-15 in word C
AFC_Pos_Select_Slew_Rate,,0x0111D51A,2,UNITLESS,0.000015625,increment AFC_Select by this value
AFC_Select,,0x01104C08,2,UNITLESS,0.000015625,used to interpolate between AFC and AFC Low Boost tables
AFC_Timing_Increment,AFCNICTA,0x01105B00,2,CRANK_DEG_BTDC,0.1171875,[AFCNICTA] Timing advance added to base timing anytime AFC is limiting fueling
AFC_Timing_Increment_Value,AFICTA,0x01105C00,2,CRANK_DEG_BTDC,0.1171875,[AFICTA] Calibratible timing increment that is added to base timing anytime AFC is limit
AH_Direct_Derate_Enable,AHDRLAEN,0x01106B3C,2,UNITLESS,10,[AHDRLAEN] ENABLE/DISABLE turbo protection latched fuel derate
AH_Enable,AHEN,0x01106B38,2,UNITLESS,20,[AHEN] Bit 5 ENABLE/DISABLE for Air Handeling feature. Bit 11 of 0-15
AH_Fuel_Derate_Imm_Waiting_Time,,0x01180500,2,SEC,0.05,Waiting time in severe overspeed condition before derate.
AH_Fuel_Derate_Latch,AHFLDRLA,0x01180600,2,UNITLESS,1,[AHFLDRLA] Indicates turbo overspeed protection fuel derate
ALL_TX_SLIPPED_Error_Init_Mask,,0x018A1002,1,HEX,1,J1850 ALL_TX_SLIPPED cannot transmit Error Initialization operation mask.
ANC_Fuel_Algorithm_Enable,NZFLAGEN,0x01106B08,2,UNITLESS,1000,[NZFLAGEN] Enable for fuel limiting of the acceleration noise control algorithm
ANC_Fuel_Limit_Status,NZFLLMSS,0x0110A412,2,UNITLESS,1.000000000,[NZFLLMSS] Sstatus indicating conditions proper for a fuel limit
ANC_SOI,,0x0110A414,2,CRANK_DEG_BTDC,0.1171875,Timing output of anc_time; input to CBL
ANC_Speed_Algorithm_Enable,NZESAGEN,0x01106B08,2,UNITLESS,4000,[NZESAGEN] Enable for speed limiting of the acceleration noise control algorithm
ANC_Timing,NZTALM,0x0110A400,2,CRANK_DEG_BTDC,0.117187500,[NZTALM] Timing advance limit as determined by ANC
ANC_Timing_Algorithm_Enable,NZTAAGEN,0x01106B08,2,UNITLESS,2000,[NZTAAGEN] Enable for timing advance of the acceleration noise control algorithm
ANC_Timing_Limit_Inhibit,NZTALMIH,0x0110A404,2,UNITLESS,1.00000000,[NZTALMIH] ANC timing limit disable due to bare engine accel
ANC_Timing_Limit_Status,NZTALMSS,0x0110A402,2,UNITLESS,1.000000000,[NZTALMSS] Status indicating conditions proper for a timing limit
APC_Initial_Scaling_Factor,,0x018A2A00,2,UNITLESS,0.01,Multiplier used to scale Boost_Pressure for initial Ambient_Air reading
APR_Current_Lowside_Driver,,0x01157708,1,UNITLESS,40,Desired state of the APR_Current_Lowside_Driver output driver.
APR_Current_Lowside_Driver_Inversion,,0x01157808,1,UNITLESS,40,Indicates activation of APR_Current_Lowside_Driver is inverted logic.
APR_Current_Lowside_Driver_Map,,0x0115798C,2,UNITLESS,1.0,Hardware resource assignment for APR_Current_Lowside_Driver.
APR_Current_Lowside_Driver_Previous_Command,,0x01157A08,1,UNITLESS,40,APR_Current_Lowside_Driver previous ON/OFF software command.
APR_Current_Lowside_Driver_Priority,,0x0112A746,1,UNITLESS,1.0,Current override priority for APR_Current_Lowside_Driver.
APR_Current_Map,,0x01151FA0,2,UNITLESS,1,APR_Current mapping index to HW channel
APR_Current_PWM_Control_Status,,0x01156904,2,UNITLESS,0010,APR_Current_PWM OS control error status flag
APR_Current_PWM_Duty_Cycle,,0x01151C48,2,%,0.00390625,APR_Current_PWM duty cycle for monitoring.
APR_Current_PWM_Map,,0x01156548,2,UNITLESS,1.0,APR_Current_PWM mapping index to HW channel
APR_Current_PWM_Period,,0x01152790,4,uSEC,1.0,APR_Current_PWM period in us for monitoring.
APR_Current_Ratio_Supply_ID,,0x01193AA0,2,UNITLESS,1,APR_Current mapping index to Sensor Supply ID
AP_Ambient_Pressure_Alpha,,0x01184300,2,UNITLESS,6.103515625E-05,Test output of Ambient Pressure based Alpha table
AP_Coolant_Temperature_Alpha,,0x01184302,2,UNITLESS,6.103515625E-05,Test output of Coolant Temperature based Alpha table
AP_KY_Interpolate,,0x01184306,2,UNITLESS,6.103515625E-05,Value used to interpolate with KY
AP_KY_Raw,,0x01184304,2,UNITLESS,6.103515625E-05,Test output of KY from alpha tables
ASG_100_Fueling,ASMXFL,0x01107C0A,2,MM3S,0.06793478400,"[ASMXFL] Fueling from 4D tables using ASG_Selected_Speed, 100% throttle, and alpha"
ASG_Adj_Size,ASGADJSZ,0x01138700,2,UNITLESS,1,[ASGADJSZ] Size of ASG adjustable parameters
ASG_Alt_Droop_Axis,ASALDPYA,0x01116D00,2,RPM/MM3S,0.00150000000,[ASALDPYA] ASG alternate droop table output axis (f(reference speed))
ASG_Alt_Droop_Reference_Axis,ASALDPXA,0x01116C00,2,RPM,0.125,[ASALDPXA] ASG alternate droop table input axis
ASG_Alt_Friction_Fuel_Bkpt,,0x018A4D00,2,RPM,0.125,ASG No load Fuel breakpoint table
ASG_Alt_Friction_Fuel_Table,,0x018A4E00,2,MM3S,0.06793479200,ASG No load fuel based on selected (ASG ref) engine speed
ASG_App_No_Load_RPM,,0x0111703C,2,RPM,0.125,application defined no load speed
ASG_As_Feedback_Speed,ASAPFBES,0x0111703A,2,RPM,0.125,[ASAPFBES] Application specific feedback variable for ASG
ASG_As_Override_Mode,ASAPODMD,0x0111700C,2,UNITLESS,1,[ASAPODMD] ASG application specific reference override mode
ASG_As_Reference_RPM,ASAPRF,0x0111700E,2,RPM,0.125,[ASAPRF] ASG application specific reference speed
