parameter,internal_name,address,size,unit,scale,description
HSG_Droop_Select_Ratio_Supply_ID,,0x01193A18,2,UNITLESS,1.0,HSG_Droop_Select mapping index to Sensor Supply ID
HSG_Droop_Slope,HSDPSL,0x01000842,2,RPM/MM3S,0.00042114258,[HSDPSL] Slope of the line defining the droop line for the HSG reference
HSG_Droop_Slope_2,HSDPSL02,0x01000848,2,RPM/MM3S,0.00042114258,[HSDPSL02] Alternate slope of line defining HSG droop line
HSG_Droop_Slope_3,HSDPSL03,0x0100084C,2,RPM/MM3S,0.00042114258,[HSDPSL03] Alternate slope of line defining HSG droop line
HSG_Droop_Slope_Bypass,,0x01106332,2,HEX,1.0,Flag indicates if HSG droop slope calculation should be bypass.
HSG_Droop_Speed,HSDPRF,0x01106306,2,RPM,0.125,[HSDPRF] HSG reference speed after droop has been calculated
HSG_Droop_Type_Select,HSDPTY,0x01000844,2,UNITLESS,1.0,[HSDPTY] indicator of what type switch is connected
HSG_Error_Filter_Constant,HSFTTC,0x01106006,2,UNITLESS,1.5258789E-5,[HSFTTC] HSG engine speed error filter time constant
HSG_Error_Filter_Gain,HSFTGN,0x01106008,2,UNITLESS,0.00195309997,[HSFTGN] HSG engine speed error filter gain
HSG_Filter_Clamp_Max,HSMXFTRF,0x0110600A,2,RPM,0.125,[HSMXFTRF] HSG maximum filtered engine speed error
HSG_Filter_Clamp_Min,HSMNFTRF,0x0110600C,2,RPM,0.125,[HSMNFTRF] HSG minimum filtered engine speed error
HSG_Filtered_Error_Term,HSER,0x01106102,2,RPM,0.125,[HSER] HSG engine speed error
HSG_Fueling,HSFL,0x01106100,2,MM3S,0.06793478400,[HSFL] Fueling output of the HSG
HSG_Fueling_Clamp_Max,HSMXFLLM,0x0110601C,2,MM3S,0.06793478400,[HSMXFLLM] HSG FUELING CLAMP MAX
HSG_Fueling_Clamp_Min,HSMNFLLM,0x0110601E,2,MM3S,0.06793478400,[HSMNFLLM] HSG FUELING CLAMP MIN
HSG_GR_Application_Priority,,0x01129800,2,HEX,1.0,HSG gain schedule selection priority
HSG_Gain_Scheduling_Enable,HSGNSDEN,0x01106B26,2,UNITLESS,1,[HSGNSDEN] Bit 0 of 0-15 of word 12h enables HSG gain scheduling
HSG_Gain_Set_Selected,HSGNSESL,0x01128F0A,2,UNITLESS,1,[HSGNSESL] Defines HSG gain set that has been chosen
HSG_Gear_Ratio_Gain_Enable,HSGRGSEN,0x01106B26,2,UNITLESS,100,[HSGRGSEN] GEAR RATIO based Gain set selection (Enabled/Disabled) Bit 8 of 0 - 15
HSG_Gear_Ratio_Threshold,,0x01129802,2,UNITLESS,0.000488281,Value used to determine whether High or Low Gear Ratio Gain Set should be used.
HSG_Governed_Speed,HSGVSP,0x01000874,2,RPM,0.125,[HSGVSP] Customer Set High Speed governed speed
HSG_High_Gear_Ratio_D_Gain,,0x01129804,2,MM3S*SEC/RPM,0.00031250000,Gear Ratio based Derivative Gain for HSG
HSG_High_Gear_Ratio_Error_Filter_Constant,,0x01129806,2,UNITLESS,1.5259E-05,Gear Ratio based error filter constant for HSG
HSG_High_Gear_Ratio_I_Gain,,0x01129808,2,MM3S/RPM/SEC,0.00152587880,Gear Ratio based integral gain for HSG
HSG_High_Gear_Ratio_P_Gain,,0x0112980A,2,MM3S/RPM,0.00048828120,Gear Ratio based Proportional gain for HSG
HSG_High_Ref_Speed_Derivative_Gain,HSHRDVGN,0x01129006,2,MM3S*SEC/RPM,0.00031250000,[HSHRDVGN] HSG PID derivative gain for high reference speed region
HSG_High_Ref_Speed_Error_Filter_Constant,HSHIFTTC,0x01129008,2,UNITLESS,1.52588E-5,[HSHIFTTC] HSG engine speed error filter time constant for high ref speed conditions
HSG_High_Ref_Speed_Integral_Gain,HSHRITGN,0x0112900A,2,MM3S/RPM/SEC,0.00152587880,[HSHRITGN] HSG PID integrator gain for high reference speed region
HSG_High_Ref_Speed_Proportional_Gain,HSHRPPGN,0x0112900C,2,MM3S/RPM,0.00048828120,[HSHRPPGN] HSG PID proportional gain for high reference speed region
HSG_High_Ref_Speed_Threshold,HSHIRFTD,0x01129004,2,RPM,0.125,[HSHIRFTD] HSG speed threshold for high reference speed region
HSG_Indicated_Isochronous_Speed,HSISRFID,0x0110631C,2,RPM,0.125,[HSISRFID] Winning Active Isochronous Speed
HSG_Indicated_Isochronous_Speed_State,HSISIDST,0x0110631E,2,UNITLESS,1,[HSISIDST] Winning Active Isochronous Speed State
HSG_Indicated_Ref_Speed_State,HSINRFST,0x01106320,2,UNITLESS,1.0,"[HSINRFST] indicates which alg. controls the HSG, HSG_Indicated_Ref_Speed_State"
HSG_Integral_Gain,HSITGN,0x01106004,2,MM3S/RPM/SEC,0.00152587880,[HSITGN] HSG PID integrator gain
HSG_Integral_Gain_Adjusted,HSITAJGN,0x0110611E,2,MM3S/RPM/SEC,0.00152587880,[HSITAJGN] HSG Adjusted Integral Gain.
HSG_Integral_Gain_Adjustment_Enable,HSITAJEN,0x01106024,2,HEX,1.0,[HSITAJEN] Flag to enable/disable the HSG integral gain adjustment scheme.
HSG_Integral_Gain_Coef_Table,HSITCFYA,0x0112E600,2,UNITLESS,3.90625E-03,[HSITCFYA] Coefficient for HSG integral gain adjustment.
HSG_Integral_Gain_Coef_Table_Error_Axis,HSITCFXA,0x0112E500,2,RPM,0.125,[HSITCFXA] Speed error axis of coefficient table for HSG integral gain adjustment.
HSG_Integral_Term,HSITFL,0x01106108,2,MM3S,0.06793478400,[HSITFL] HSG PID integrator fueling contribution
HSG_Integrator_Clamp_Max,HSMXITFL,0x0110600E,2,MM3S,0.06793478400,[HSMXITFL] HSG maximum integrator fuel output
HSG_Integrator_Clamp_Min,HSMNITFL,0x01106010,2,MM3S,0.06793478400,[HSMNITFL] HSG minimum integrator fuel output
HSG_Integrator_Preset_Maximum,HSMXITPZ,0x0110601A,2,MM3S,0.06793478400,[HSMXITPZ] HSG INTEGRATOR PRESET MAXIMUM
HSG_Integrator_Preset_Minimum,HSMNITPZ,0x01106018,2,MM3S,0.06793478400,[HSMNITPZ] HSG INTEGRATOR PRESET MINIMUM
HSG_Integrator_Reset,HSCNRSFL,0x01106012,2,MM3S,0.06793478400,[HSCNRSFL] HSG integrator reset value used to adjust integrator under defined RPM/TVO limi
HSG_Integrator_Reset_Offset,,0x0110602E,2,MM3S,0.06793478400,Offset limit on Integrator Fueling preset value.
HSG_Intermediate_Desired_Active_Breakpoint,HSIRDSBK,0x01106326,2,RPM,0.1250,[HSIRDSBK] HSG Breakpoint manipulated by many algorithms
HSG_Intermediate_Max_Active_Breakpoint,HSIRMXBK,0x01106328,2,RPM,0.1250,[HSIRMXBK] HSG Max Breakpoint manipulated by many algorithms
HSG_Intermediate_Min_Active_Breakpoint,HSIRMNBK,0x0110632A,2,RPM,0.1250,[HSIRMNBK] HSG Min Breakpoint manipulated by many algorithms
HSG_Isochronous_Speed,HSISRF,0x0112EA04,2,RPM,0.125,[HSISRF] HSG isochronous speed
HSG_Isochronous_Speed_2,HSISRF02,0x0112EA06,2,RPM,0.125,[HSISRF02] Alternate HSG isochronous speed
HSG_Isochronous_Speed_3,HSISRF03,0x0112EA08,2,RPM,0.125,[HSISRF03] Alternate HSG isochronous speed
HSG_Low_Gear_Ratio_D_Gain,,0x0112980C,2,MM3S*SEC/RPM,0.00031250000,Gear Ratio based Derivative Gain for HSG
HSG_Low_Gear_Ratio_Error_Filter_Constant,,0x0112980E,2,UNITLESS,1.5259E-05,Gear Ratio based error filter constant for HSG
HSG_Low_Gear_Ratio_I_Gain,,0x01129810,2,MM3S/RPM/SEC,0.00152587880,Gear Ratio based integral gain for HSG
HSG_Low_Gear_Ratio_P_Gain,,0x01129812,2,MM3S/RPM,0.00048828120,Gear Ratio based Proportional gain for HSG
HSG_Low_Ref_Speed_Derivative_Gain,HSLRDVGN,0x01129010,2,MM3S*SEC/RPM,0.00031250000,[HSLRDVGN] HSG PID derivative gain for low reference speed region
HSG_Low_Ref_Speed_Error_Filter_Constant,HSLOFTTC,0x01129012,2,UNITLESS,1.52588E-5,[HSLOFTTC] HSG engine speed error filter time constant for low ref speed conditions
HSG_Low_Ref_Speed_Integral_Gain,HSLRITGN,0x01129014,2,MM3S/RPM/SEC,0.00152587880,[HSLRITGN] HSG PID integrator gain for low reference speed region
HSG_Low_Ref_Speed_Proportional_Gain,HSLRPPGN,0x01129016,2,MM3S/RPM,0.00048828120,[HSLRPPGN] HSG PID proportional gain for low reference speed region
HSG_Low_Ref_Speed_Threshold,HSLORFTD,0x0112900E,2,RPM,0.125,[HSLORFTD] HSG speed threshold for low reference speed region
HSG_Max_Active_Breakpoint,HSMXBKRF,0x0110632C,2,RPM,0.1250,[HSMXBKRF] HSG Max Breakpoint
HSG_Max_Derate_Speed,HSMXRF,0x01106208,2,RPM,0.125,[HSMXRF] Upper limit of HSG_Ref_Speed_Before_Droop
HSG_Min_Active_Breakpoint,HSMNBKRF,0x0110632E,2,RPM,0.1250,[HSMNBKRF] HSG Min Breakpoint
HSG_Min_Derate_Speed,HSMNRF,0x01106206,2,RPM,0.125,[HSMNRF] Lower limit of HSG_Ref_Speed_Before_Droop
HSG_Modified_Speed_Type,ZVHSRFTY,0x01126202,2,UNITLESS,1.0,"[ZVHSRFTY] Type ind. 0,1=Ref 2,3=Isoc. 1,3=add offset"
HSG_No_Load_RPM,HSNLRPDF,0x0112EA02,2,RPM,0.125,[HSNLRPDF] Default value set for HSG_Active_No_Load_RPM in HSG Ref. Speed Algorithm
HSG_Proportional_Clamp_Max,HSPPFLMX,0x0110602A,2,MM3S,0.06793478400,[HSPPFLMX] HSG PID Proportional fueling contribution upper limit
HSG_Proportional_Clamp_Min,HSPPFLMN,0x0110602C,2,MM3S,0.06793478400,[HSPPFLMN] HSG PID Proportional fueling contribution lower limit
HSG_Proportional_Gain,HSPPGN,0x01106000,2,MM3S/RPM,0.00048828120,[HSPPGN] HSG PID proportional gain
HSG_Proportional_Gain_Adjusted,HSPPAJGN,0x0110611A,2,MM3S/RPM,0.00048828120,[HSPPAJGN] HSG adjusted proportional gain.
HSG_Proportional_Gain_Adjustment_Enable,HSPPAJEN,0x01106022,2,HEX,1.0,[HSPPAJEN] Flag to enable/disable the HSG proportional gain adjustment scheme.
HSG_Proportional_Gain_Coef_Table,HSPPCFYA,0x0112E400,2,UNITLESS,3.90625E-03,[HSPPCFYA] Coefficient for HSG proportional gain adjustment.
HSG_Proportional_Gain_Coef_Table_Error_Axis,HSPPCFXA,0x0112E300,2,RPM,0.125,[HSPPCFXA] Speed error axis of coefficient table for HSG derivative gain adjustment.
HSG_Proportional_Term,HSPPFL,0x01106104,2,MM3S,0.06793478400,[HSPPFL] HSG PID proportional fueling contribution
HSG_Ramp_Step,HSRFRMRT,0x01106200,2,RPM/SEC,6.25,[HSRFRMRT] Incremental step in HSG reference used when reference is increased
HSG_Ref_Speed_Before_Droop,HSRFBEDP,0x01106304,2,RPM,0.125,[HSRFBEDP] Reference speed before droop calculation
HSG_Ref_Speed_State,HSRFST,0x01106300,2,UNITLESS,1,[HSRFST] HSG REFERENCE SPEED STATE
HSG_Ref_Speed_To_Gain_Sched,HSRFTOGS,0x01106314,2,RPM,0.125,[HSRFTOGS] Reference speed before droop sent hsg ref -> hsg gain sched
HSG_Reference_Speed,HSRF,0x01106302,2,RPM,0.125,[HSRF] Current reference speed being used by the HSG feature
HSG_Reset_Fuel,HSITRSFL,0x01106016,2,MM3S,0.06793478400,[HSITRSFL] Engine fueling below which the HSG integrator may be reset
HSG_Reset_Rpm,HSITRSES,0x01106014,2,RPM,0.125,[HSITRSES] Engine speed below which the HSG integrator is reset
HSG_Speed_Set_Derivative_Gain,HSSSDVGN,0x01128F10,2,MM3S*SEC/RPM,0.00031250000,[HSSSDVGN] HSG PID speed-dependant derivative gain
HSG_Speed_Set_Error_Filter_Constant,HSSSFTTC,0x01128F12,2,UNITLESS,1.52588E-5,[HSSSFTTC] HSG speed-dependant engine speed error filter time constant
HSG_Speed_Set_Integral_Gain,HSSSITGN,0x01128F0E,2,MM3S/RPM/SEC,0.00152587880,[HSSSITGN] HSG PID speed-dependant integral gain
HSG_Speed_Set_Proportional_Gain,HSSSPPGN,0x01128F0C,2,MM3S/RPM,0.00048828120,[HSSSPPGN] HSG PID speed-dependant proportional gain
HSG_TC_Droop_On,,0x0110620A,2,UNITLESS,1.0,"1=HSG droop on for stall torque mgmt, 0 = droop off"
HSG_Transient_Derivative_Gain,HSTZDVGN,0x01129018,2,MM3S*SEC/RPM,0.00031250000,[HSTZDVGN] HSG PID derivative gain for transient conditions
HSG_Transient_Error_Filter_Constant,HSTZFTTC,0x0112901A,2,UNITLESS,1.52588E-5,[HSTZFTTC] HSG engine speed error filter time constant for transient conditions
HSG_Transient_Integral_Gain,HSTZITGN,0x0112901C,2,MM3S/RPM/SEC,0.00152587880,[HSTZITGN] HSG PID integrator gain for transient conditions
HSG_Transient_Proportional_Gain,HSTZPPGN,0x0112901E,2,MM3S/RPM,0.00048828120,[HSTZPPGN] HSG PID proportional gain for transient conditions
HSG_Transition_Delay_Time,FSHSTZDY,0x01104602,2,CNTS,1.0,[FSHSTZDY] Number of execution intervals that hsg-to-user gov transition is delayed
High_HP_Peak_Fueling,FSPKFLHI,0x01117D1E,2,MM3S,0.06793478400,[FSPKFLHI] Maximum Fueling Of All The Tau 1 Fueling Curves In the ECM
High_HP_Peak_Fueling_Speed,FSPKESHI,0x01117D20,2,RPM,0.125,[FSPKESHI] Speed assoc. w. Maximum Fueling Of All The Tau 1 Fueling Curves In the ECM
High_Side_Gate_Bias_SV_Map,,0x01151F46,2,UNITLESS,1.0,High_Side_Gate_Bias_SV mapping index to HW channel
High_Side_Gate_Bias_SV_Ratio_Supply_ID,,0x01193A46,2,UNITLESS,1.0,High_Side_Gate_Bias_SV mapping index to Sensor Supply ID
Highest_PPS_Min,,0x018BAC06,2,%THROTTLE,0.25,Maximum PPSx_Throttle_Min that any valid pedal can have
Highest_Throttle_Min,CTHISATH,0x01104806,2,%THROTTLE,0.25,[CTHISATH] Maximum Throttle_Min that any valid pedal can have
Hot_Idle_Coolant_Temperature,,0x0114EE04,2,DEG_F,0.015625,"If coolant temp greater than this, increment hot idle timer"
Hot_Idle_Inhibit_Time,,0x0114EE06,2,SEC,0.02,Amount of time to inhibit hot idle based speed
Hot_Idle_Time,,0x0114EE08,2,SEC,0.02,"Amount of time hot idle based speed is in effect;if=0, no time limit"
Hour_Meter,,0x01001C00,4,MIN,0.00333329989,HOUR METER (ECM RUN TIME)
Humidity_Map,,0x01151FAE,2,UNITLESS,1,Humidity mapping index to HW channel
Humidity_Ratio_Supply_ID,,0x01193AAE,2,UNITLESS,1,Humidity mapping index to Sensor Supply ID
Hybrid_Governor_Alpha0_Fueling_Table,,0x018D0E00,2,MM3S,0.06793478400,Hyb_Gov Transient (Alpha=0) Fuel Limit Table (21x6) for Part Throttle Derate
Hybrid_Governor_Alpha1_Fueling_Table,,0x018D0F00,2,MM3S,0.06793478400,Hyb_Gov Steady State (Alpha=1) Fuel Limit Table (21x6) for Part Throttle Derate
Hybrid_Governor_CBR_Fueling_RPM_Axis,,0x018D0D00,2,RPM,0.125,Engine Speed Axis (21 pts) for the Hybrid Governor Alpha-Chi Fueling Table
Hybrid_Governor_CBR_Fueling_Throttle_Axis,,0x018D1300,2,%,0.25,Throttle Axis (6 pts) for the Hybrid Governor CBR Alpha-Chi Fueling Table
Hybrid_Governor_Chi2_Fueling_Table,,0x018D1000,2,MM3S,0.06793478400,Hyb_Gov Steady State (Chi=2) Fuel Limit Table (21x6) for Part Throttle Derate
Hybrid_Governor_Chi3_Fueling_Table,,0x018D1100,2,MM3S,0.06793478400,Hyb_Gov Steady State (Chi=3) Fuel Limit Table (21x6) for Part Throttle Derate
Hybrid_Governor_Chi4_Fueling_Table,,0x018D1200,2,MM3S,0.06793478400,Hyb_Gov Steady State (Chi=4) Fuel Limit Table (21x6) for Part Throttle Derate
Hybrid_Governor_Cold_Increment_Enable,,0x01106B56,2,UNITLESS,0100,Enable to add Cold_Delta_Fuel to Hybrid_Governor_Fueling
Hybrid_Governor_Enable,,0x01106B40,2,UNITLESS,1,Hybrid Governor Enable - Bit 0 of 0-15 in word 31
Hybrid_Governor_Fueling,,0x0113F700,2,MM3S,0.06793478400,Partial Throttle ASG Fueling Limit
IAH_24V_Enable,,0x01106B42,2,UNITLESS,10,Intake Air Heater 24V Control Algorithm Enable
IAH_Band_Check_Delay,,0x01162A00,2,SEC,0.1,Delay between grid-on and start of band check
IAH_Band_Check_Stop_Time,,0x01162A02,2,SEC,0.1,Value of IAH_Preheat_Timer when band check stops
IAH_Control_Enable,,0x01106B42,2,UNITLESS,1,Intake Air Heater Control Algorithm Enable
IAH_Control_Status,,0x018A3500,2,UNITLESS,1.0,bits 0 - 7(No Op/PR Active/PR Abrt/PR Comp/Wait 4 Run/PH Act/PH Abrt/PH Comp)
IAH_Crank_Heat_Subtraction,,0x018A2B1A,2,UNITLESS,1.0,"If enabled(=1),subtract crank grid heat on time from postheat"
IAH_Crank_Heat_Time,,0x018A2B1C,2,SEC,0.1,Limit on grid heat on time during crank
IAH_Crank_Low_Time,,0x018A2B1E,2,SEC,0.1,"If RPM < IAH_Crank_Low_RPM for this time, turns grids off"
IAH_Crank_Off_RPM,,0x018A2B20,2,RPM,0.125,"If RPM < this cal for IHCKLOTM, turns grids off"
IAH_Crank_On_RPM,,0x018A2B22,2,RPM,0.125,"If RPM > this cal, turns grids on during cranking"
IAH_Crank_Temp,,0x018A4100,2,DEG_F,0.015625,"IF IMT below this value, enables heaters during crank"
IAH_Crank_Time_Limit,,0x018A2B00,2,SEC,0.1,Disable IAH if cranking longer than this time
IAH_Default_IMT,,0x018A3700,2,DEG_F,0.015625,Default intake manifold temp used in IAH if IMT high error set
IAH_Delta_Counts_Threshold,,0x01162B00,2,CNTS,1,Delta volts threshold within valid band
IAH_Delta_Counts_X,,0x01162C00,2,DEG_F,0.015625,IAH monitor battery cnts threshold - x vector
IAH_Delta_Counts_Y,,0x01162D00,2,CNTS,1,IAH monitor battery cnts threshold - Y vector
IAH_Error_Status,,0x018A350A,2,UNITLESS,1.0,0=Inprocess/1=complete/2=VS/3=BT/4=longcrank/5=2hot/6=posthigh/7=Inhbit/8=Fuel
IAH_Fuel_Threshold,,0x018A2B02,2,MM3S,0.06793478400,IAH postheat terminated if fuel > this parameter for time > IHFLTM
IAH_Fuel_Time,,0x018A2B04,2,SEC,0.1,IAH postheat terminated if fuel > IHFLTD for this length of time
IAH_Grid_Off_Delta_Voltage_Counts,,0x01162B02,2,CNTS,1,Delta volts counts when grids go off
IAH_Grid_Off_Voltage_Check_Delay,,0x01162A04,2,SEC,0.1,Delay between grid-off and taking voltage sample
IAH_Grid_On_Delta_Voltage_Counts,,0x01162B04,2,CNTS,1,Delta volts counts when grids come on
IAH_Grid_On_Voltage_Check_Delay,,0x01162A06,2,SEC,0.1,Delay between grid-on and taking voltage sample
IAH_Inhibit_Postheat_Counter,,0x018A3600,2,UNITLESS,1.0,IAH: Inhibits postheat phase for this number of engine starts
IAH_Initial_Voltage_Check_Delay,,0x01162A08,2,SEC,0.1,Delay between key on and taking first voltage sample
IAH_Lower_Battery_Counts_Band_Limit,,0x01162A0A,2,CNTS,1,Allowable negative delta from initial grid-on voltage
IAH_Max_Delta_Counts_Difference,,0x01162A0C,2,CNTS,1,Max Allowable difference between grid-on and grid-off Voltage
IAH_Max_Start_Delta_Temperature,,0x01162A16,2,DEG_F,0.015625,Max allowable temp difference between IMT and battery temp
IAH_Minimum_Delta_Voltage_Threshold,,0x01164A0A,2,VOLT,0.0625,delta voltage below which an error is set
IAH_Minimum_Manifold_Temperature,,0x01162A0E,2,DEG_F,0.015625,Minimum intake manifold temperature for monitor operation
IAH_Monitor_Enable,,0x01106B54,2,UNITLESS,200,whether or not and how the intake air heater monitor is enabled
IAH_Monitor_Max_Battery_Voltage,,0x01162A10,2,VOLT,0.0625,Maximum Battery Voltage for IAH Monitor to run
IAH_Monitor_Min_Battery_Voltage,,0x01162A12,2,VOLT,0.0625,Minimum Battery Voltage for IAH Monitor to run
IAH_Monitor_State,,0x01162B08,2,UNITLESS,1,state of the intake air heater monitor
IAH_Override,,0x018A3508,2,UNITLESS,1.0,"Value:IAH Relay1/ Relay2(0:ignore override,1:ON/OFF,2:OFF/ON,3:ON/ON,4:OFF/OFF)"
IAH_Override_Time_Limit,,0x018A2B06,2,SEC,0.1,Maximum time IAH relays can be overriden using user override
IAH_Overvoltage_Limit,,0x018A2B08,2,VOLT,0.0625,Intake Air Heater Control Disabled if Battery Voltage > this cal
IAH_Phase,,0x018A3502,2,UNITLESS,1.0,IAH Control Phase (0=key_on/1=setup/2=preheat/3=crank/4=postheat/5=off)
IAH_Postheat_Coolant_Temperature_Limit,,0x018A2B14,2,DEG_F,0.015625,disable postheat if coolant temp > cal AND postheat temp > IHPHITTH
IAH_Postheat_DC_X,,0x018A3300,2,UNITLESS,1.0,"IAH postheat stage to duty cycle conversion - x vector, postheat stage"
IAH_Postheat_DC_Y,,0x018A3400,2,%DUTY_CYCLE,1,"IAH postheat stage to duty cycle conversion - y vector, % duty cycle"
IAH_Postheat_Input_Temperature_Limit,,0x018A2B16,2,DEG_F,0.015625,disable postheat if postheat temp > cal and coolant temp > IHPHCLTH
IAH_Postheat_RPM,,0x018A2B0A,2,RPM,0.125,IAH transitions to postheat when N > IHPHES OR engine state is run
IAH_Postheat_Schedule,,0x018A3504,2,UNITLESS,1.0,Intake air heater postheat schedule selected by intake manifold temperature
IAH_Postheat_Schedule_X,,0x018A2C00,2,DEG_F,0.015625,"IAH Postheat Schedule (postheat stages sequence) - x vector, IMT (DEGF)"
IAH_Postheat_Schedule_Y,,0x018A2D00,2,UNITLESS,1.0,"IAH Postheat Schedule (postheat stages sequence) - y vector, Postheat Schedule"
IAH_Postheat_Stage_RPM,,0x018A2B0C,2,RPM,0.125,In postheat schedule 2 or 3: stages 1/3 trans. to/from 2 when N >/< this cal
IAH_Postheat_Stage_RPM_Hy,,0x018A2B0E,2,RPM,0.125,Hysteresis added to postheat stage rpm transitions
IAH_Postheat_Temp_Flag,,0x018A350C,2,UNITLESS,1.0,Temp signal used in postheat (0=IMT/1=Battery Temp (for Chrysler)
IAH_Postheat_Temp_Select_Delta,,0x018A2B10,2,DEG_F,0.015625,"If (temp1-this cal)<temp0, use temp1 for postheat calculations"
IAH_Postheat_Time_X,,0x018A2E00,2,UNITLESS,1.0,"IAH Postheat Time - x vector, Postheat Schedule"
IAH_Postheat_Time_Y,,0x018A2F00,2,UNITLESS,1.0,"IAH Postheat Time - y vector, Postheat stage"
IAH_Postheat_Time_Z,,0x018A3000,2,SEC,0.1,"IAH Postheat Time - z matrix, Postheat time"
IAH_Preheat_Status,,0x018A350E,2,UNITLESS,1.0,1st Preheat cycle complete = 1
IAH_Preheat_Time_X,,0x018A3100,2,DEG_F,0.015625,"IAH preheat time - x vector, IMT (DEGF)"
IAH_Preheat_Time_Y,,0x018A3200,2,IN_HG,0.01590625,"IAH preheat time - y vector, preheat time"
IAH_Preheat_Time_Z,,0x018A3900,2,SEC,0.1,"IAH preheat time - z vector, preheat time"
IAH_Preheat_Timer,,0x01162B06,2,SEC,0.1,Preheat countdown timer
IAH_Redundant_Preheat_Req,,0x018A3602,2,UNITLESS,1,"If preheat w/o cranking, this param=1;saved at powerdown"
IAH_Redundant_Preheat_Time,,0x018A2B18,2,SEC,0.1,IAH Redundant Preheat Time
IAH_Relay_Driver_Select,,0x018A3506,2,UNITLESS,1.0,Identifies which intake air heater relay driver is energized during postheat
IAH_Temperature_Input0,,0x018A3800,2,DEG_F,0.015625,IAH Temperature Input 0; equals IMT at key on if IMT valid
IAH_Temperature_Input1,,0x018A3802,2,DEG_F,0.015625,IAH Temperature Input 1; equals battery temp for Chrysler
IAH_Upper_Battery_Counts_Band_Limit,,0x01162A14,2,CNTS,1,Allowable positive delta from initial grid-on voltage
IAH_Vehicle_Speed_Threshold,,0x018A2B12,2,MPH,0.00390625,Terminates IAH Control if Road_Speed exceeds this threshold
IAH_Voltage_Reading_Delay_Time,,0x01164A08,2,SEC,0.1,Delay between turning grids on and reading battery voltage
IMA_Current_Lowside_Driver,,0x01157708,1,UNITLESS,20,Desired state of the IMA_Current_Lowside_Driver output driver.
IMA_Current_Lowside_Driver_Inversion,,0x01157808,1,UNITLESS,20,Indicates activation of IMA_Current_Lowside_Driver is inverted logic.
IMA_Current_Lowside_Driver_Map,,0x0115798A,2,UNITLESS,1.0,Hardware resource assignment for IMA_Current_Lowside_Driver.
IMA_Current_Lowside_Driver_Previous_Command,,0x01157A08,1,UNITLESS,20,IMA_Current_Lowside_Driver previous ON/OFF software command.
IMA_Current_Lowside_Driver_Priority,,0x0112A745,1,UNITLESS,1.0,Current override priority for IMA_Current_Lowside_Driver.
IMA_Current_Map,,0x01151F9E,2,UNITLESS,1,IMA_Current mapping index to HW channel
IMA_Current_PWM_Control_Status,,0x01156904,2,UNITLESS,0008,IMA_Current_PWM OS control error status flag
IMA_Current_PWM_Duty_Cycle,,0x01151C46,2,%,0.00390625,IMA_Current_PWM duty cycle for monitoring.
IMA_Current_PWM_Map,,0x01156546,2,UNITLESS,1.0,IMA_Current_PWM mapping index to HW channel
IMA_Current_PWM_Period,,0x0115278C,4,uSEC,1.0,IMA_Current_PWM period in us for monitoring.
IMA_Current_Ratio_Supply_ID,,0x01193A9E,2,UNITLESS,1,IMA_Current mapping index to Sensor Supply ID
IMT_Data_Noderate_Enable,EPIMDXEN,0x01106B36,2,UNITLESS,4,[EPIMDXEN] Bit 2 of 0-15. EPF IMT enable for history only data.
IMT_Error_Counter,,0x0119021A,2,CNTS,1,Error Counter for IMT key-on fault
IMT_Failed,,0x0118D906,2,UNITLESS,1,Indicator of one or more faults on IMT sensor
IMT_Fueling_Limiting_Enable,EPIMFLEN,0x01106B10,2,UNITLESS,100,[EPIMFLEN] Bit 8 of 0-15 Enable for TVO limiting due to intake manifold temp. (Bit 6)
IMT_RPM_Limiting_Enable,EPIMRPEN,0x01106B10,2,UNITLESS,200,[EPIMRPEN] BIT 9 of 0-15. ENABLE PARAMETER FOR RPM LIMITING DUE TO IMT
IMT_Restart_Enable,EPIMRYEN,0x01106B10,2,UNITLESS,800,[EPIMRYEN] BIT 11 OF 0-15. PREVENTS RESTART AT POWERUP WHEN SHUTDN CNT > MAX SHUTDN CNT DU
IMT_Shutdown_Enable,EPIMSOEN,0x01106B10,2,UNITLESS,400,[EPIMSOEN] BIT 10 OF 0-15. ENABLE SHUTDOWN ON INTAKE MANIFOLD TEMPERATURE ERRORS.
INM_EGRT_After_Lead,,0x0119CA06,2,DEG_F,0.015625,Estimated EGR orifice temp after sensor compensation but
INM_EGRT_Lead_Term,,0x0119CA08,2,DEG_F,0.015625,Derivative based component of EGR orifice temperature estimate
INM_EGRT_Lead_Time_Constant,,0x0119CA0A,2,SEC,0.01,Current active EGR orifice temperature lead time constant
IS_Brake_On_Prevent_Shutdown_Enable,,0x01106B28,2,UNITLESS,0100,Enables depressed serv. brake to prevent idle shutdow
IS_Interlock_A_D_Map,,0x01151F22,2,UNITLESS,1.0,IS_Interlock_A_D mapping index to HW channel
IS_Interlock_A_D_Ratio_Supply_ID,,0x01193A22,2,UNITLESS,1.0,IS_Interlock_A_D mapping index to Sensor Supply ID
Idle_Shutdown_Max_IMT,ISMXIM,0x01000854,2,DEG_F,0.015625,[ISMXIM] Desired extremely warm temperature by customer
Idle_Shutdown_Min_IMT,ISMNIM,0x01000856,2,DEG_F,0.015625,[ISMNIM] Desired extremely cold temperature by customer
