cm550_addr,cm550_name,cm848_addr,cm848_name,score,evidence,action
0x0003320e,FUN_0003320e,0x0001b3a0,faultTimerHandler,39,rare_const:0x4e21+0xfaff;common_const:2;jaccard:0.50;struct:similar,name_cm550:faultTimerHandler
0x00031c84,FUN_00031c84,0x00024178,j1939HandlePgn65265CruiseVehicleSpeed,38,common_const:10;jaccard:0.43,name_cm550:j1939HandlePgn65265CruiseVehicleSpeed
0x00031fee,FUN_00031fee,0x00024800,initPgn65261CruiseControlSetupStruct,36,rare_const:0xfeed00;common_const:1;jaccard:1.00;struct:similar,name_cm550:initPgn65261CruiseControlSetupStruct
0x0002e95e,initQADC,0x00055500,initQadcModule,35,rare_const:0x1100+0x81f7;common_const:2;jaccard:0.33;struct:similar,rename_both:initQadcModule
0x00031f30,FUN_00031f30,0x000246fc,j1939HandlePgn65261CruiseControlSetup,35,rare_const:0x9e01;common_const:3;jaccard:0.67;struct:similar,name_cm550:j1939HandlePgn65261CruiseControlSetup
0x0000c582,timingProtectionFlagsOrchestrator,0x0000e3a4,processFuelPressureConditions,34,common_const:6;jaccard:0.67;struct:similar,rename_both:timingProtectionFlagsOrchestrator
0x0001d392,FUN_0001d392,0x0001fa20,selectSensorRawChannels,34,common_const:5;jaccard:0.83;struct:similar,name_cm550:selectSensorRawChannels
0x00023a90,lampDriverOutputDispatcher,0x000343ac,processProtectionFlagConditions,34,common_const:7;jaccard:0.54;struct:similar,rename_both:processProtectionFlagConditions
0x00018a26,protectionState0FaultDurationCounter,0x00507cd8,evaluateLimitSourceFlags,33,rare_const:0x101+0x402;common_const:1;jaccard:0.38;struct:similar,rename_both:protectionState0FaultDurationCounter
0x00019436,protectionStateValidator,0x00508da8,captureEventSnapshot,33,common_const:6;jaccard:0.60;struct:similar,rename_both:protectionStateValidator
0x0000b7bc,FUN_0000b7bc,0x0000597c,validateServiceDataLength,32,common_const:7;jaccard:0.58,name_cm550:validateServiceDataLength
0x00018f86,protectionStateUpdater,0x005084e0,incrementDiagnosticCounters,32,common_const:5;jaccard:0.71;struct:similar,rename_both:incrementDiagnosticCounters
0x00026cc8,fuelSmokeLimiterCalculator,0x0050db88,calculateSpeedRatioComponent,32,rare_const:0x7f80;common_const:3;jaccard:0.50;struct:similar,rename_both:calculateSpeedRatioComponent
0x0002fcdc,FUN_0002fcdc,0x00007370,sensorRangeValidation,32,common_const:3;jaccard:1.00;struct:similar,name_cm550:sensorRangeValidation
0x0002dde8,oilPressureRpmFaultMonitor,0x00011ab4,calculateTurboCompensation,31,rare_const:0xffff8000;common_const:5;jaccard:0.18;struct:similar,rename_both:oilPressureRpmFaultMonitor
0x00033692,FUN_00033692,0x0001b900,initFaultTimerMessage,31,rare_const:0xfee300;common_const:2;jaccard:0.60;struct:similar,name_cm550:initFaultTimerMessage
0x0001c9d2,fuelDemandProportionalCalculationSlowCycle40Coordinator,0x0001ef88,calculateFuelDemandLimitOutput,30,rare_const:0x1d7;common_const:3;jaccard:0.40;struct:similar,rename_both:fuelDemandProportionalCalculationSlowCycle40Coordinator
0x0001e956,insiteLiveDataHandler,0x00024230,buildPgn65228Dm3ClearInitMessage,30,rare_const:0xc3;common_const:4;jaccard:0.28;struct:similar,rename_both:buildPgn65228Dm3ClearInitMessage
0x000138b6,FUN_000138b6,0x00014304,setFuelStatusFlags,29,common_const:3;jaccard:1.00,review
0x0001ce58,FUN_0001ce58,0x0001f318,initProtectionStateWithFuelDemand,29,common_const:2;jaccard:1.00;struct:similar,review
0x0002238e,diagMemoryReadResponseBuilder,0x00001b48,diagMemoryReadHandler,29,common_const:6;jaccard:0.43;struct:similar,review
0x00022b50,vp44FuelTempHandler,0x0050cb3c,j1939ProcessIncomingMessage,29,rare_const:0x6a4;common_const:2;jaccard:0.50;struct:similar,review
0x0002571e,FUN_0002571e,0x0050d510,filterGovernorState,29,rare_const:0x8b21;common_const:1;jaccard:0.67;struct:similar,review
0x0002ef4a,FUN_0002ef4a,0x000227a0,j1939HandleDm1RequestMessage,29,common_const:2;jaccard:1.00;struct:similar,review
0x0001645e,safeDivideWithClamp,0x0001359c,processBoostControlState,28,common_const:4;jaccard:0.80,review
0x00022ece,unknownMessageHandler,0x0050cf6c,processTransmitBufferData,28,common_const:4;jaccard:0.67;struct:similar,review
0x0002f7e6,retarderControlModeHandler,0x000236f0,j1939ProcessGovernorRequest,28,common_const:4;jaccard:0.67;struct:similar,review
0x0002041c,FUN_0002041c,0x00509d78,processBoostPressureOffset,27,common_const:3;jaccard:0.75;struct:similar,review
0x000222b4,canDiagnosticResponseSender,0x0050bfc4,prepareParameterResponseFrame,27,rare_const:0xef0000;common_const:2;jaccard:0.43;struct:similar,review
0x00025316,faultLampBlinkPatternGenerator,0x0051826c,evaluateTemperatureDiagnosticState,27,common_const:8;jaccard:0.19,review
0x0000c404,FUN_0000c404,0x0000e164,calculateSensorEma,26,common_const:1;jaccard:1.00;struct:similar,review
0x0000e998,FUN_0000e998,0x0050de54,processFaultCountdownTimer2,26,common_const:5;jaccard:0.42;struct:similar,review
0x0000fa06,vp44State2TransitionHandler,0x00020b84,updateProtectionParameters,26,rare_const:0xa7;common_const:1;jaccard:0.50;struct:similar,review
0x0000ff48,FUN_0000ff48,0x000212dc,initProtectionDelayDefaults,26,common_const:1;jaccard:1.00;struct:similar,review
0x00011e5e,coldStartFuelControlSlowCycle40Coordinator,0x00522750,processOperatingStateTransition,26,common_const:7;jaccard:0.28,review
0x000199fa,phase2_slot_0_handler,0x00526c3c,processVariableTimingControl,26,common_const:5;jaccard:0.42;struct:similar,review
0x00023216,FUN_00023216,0x00027118,resetGovernorState,26,common_const:1;jaccard:1.00;struct:similar,review
0x00025806,FUN_00025806,0x005067e0,calculateSignedRatioDivision,26,common_const:2;jaccard:1.00,review
0x000258b0,FUN_000258b0,0x000130ac,initManifoldPressureFilter,26,common_const:1;jaccard:1.00;struct:similar,review
0x00026078,FUN_00026078,0x0000fabc,initFuelDemandVariables,26,common_const:1;jaccard:1.00;struct:similar,review
0x00026e2c,FUN_00026e2c,0x005136dc,interpolateGovernorModeLimit,26,common_const:1;jaccard:1.00;struct:similar,review
0x00027f9c,FUN_00027f9c,0x00025110,j1939BuildDm4FreezeFrame,26,rare_const:0x1f4;common_const:4;jaccard:0.21,review
0x0002d9a8,FUN_0002d9a8,0x0002a918,checkProtectionParamLimit,26,common_const:1;jaccard:1.00;struct:similar,review
0x00031496,FUN_00031496,0x0001f34c,calculateTimingCompensation,26,common_const:1;jaccard:1.00;struct:similar,review
0x00031a68,FUN_00031a68,0x00014080,initThrottleFilterState,26,common_const:1;jaccard:1.00;struct:similar,review
0x000334ec,FUN_000334ec,0x0005644c,signedFirstOrderFilter,26,common_const:2;jaccard:1.00,review
0x0003366a,FUN_0003366a,0x0001b730,sendFaultTimerMessage,26,common_const:1;jaccard:1.00;struct:similar,review
0x00033716,FUN_00033716,0x00026cf0,j1939HandlePgn65271VehicleElectrical,26,common_const:1;jaccard:1.00;struct:similar,review
0x00034d52,FUN_00034d52,0x00035d00,processSensorTemperatureData,26,common_const:1;jaccard:1.00;struct:similar,review
0x0000c962,engine_speed_governor,0x00020d10,updateProtectionStateMachine,25,rare_const:0xffff8300;common_const:4;jaccard:0.19,review
0x0001952c,protectionState3bRpmMonitor,0x00508f24,handleEventCaptureAndSnapshot,25,common_const:5;jaccard:0.38;struct:similar,review
0x00019caa,FUN_00019caa,0x00526cb8,initHardwareRegisterSet2,25,common_const:5;jaccard:0.50,review
0x00020890,FUN_00020890,0x000564f0,multiplyAccumulateFixed32,25,common_const:4;jaccard:0.67,review
0x0002148a,memoryOperationDispatcher,0x0050ac04,processServiceRequest,25,rare_const:0x6e4;common_const:2;jaccard:0.30;struct:similar,review
0x0002e5c0,pwmFuelDemandOutputCalculator,0x00054ec4,miosReadChannelStatus,25,rare_const:0x7fff8000;common_const:3;jaccard:0.31,review
0x0000c326,vp44RpmBasedFaultDetector,0x00013ca4,initBoostProtectionState,24,common_const:3;jaccard:0.75,review
0x0000d3e6,diagnosticMode10FuelController,0x0000ff04,calculateFuelTrimValues,24,rare_const:0x2655879;common_const:2;jaccard:0.30;common_callee:lookupTableInterpolation,review
0x0001e0fa,FUN_0001e0fa,0x0001392c,selectLoadNormalizer,24,common_const:3;jaccard:0.60;struct:similar,review
0x00026854,FUN_00026854,0x0004f2ec,protectionWarningHandler,24,common_const:7;jaccard:0.16,review
0x00027c20,FUN_00027c20,0x00021918,validateCalibrationMemory,24,rare_const:0x3e80;common_const:1;jaccard:0.40;struct:similar,review
0x0002f606,FUN_0002f606,0x0002346c,j1939SetupMultiFrameTransfer,24,common_const:3;jaccard:0.60;struct:similar,review
0x000306ca,FUN_000306ca,0x00530f80,processDataRecordCapture,24,common_const:5;jaccard:0.31;struct:similar,review
0x00032a42,diagnosticDM5DataBuilder,0x00025458,j1939HandlePgn65230Dm5Readiness,24,common_const:3;jaccard:0.60;struct:similar,review
0x00033880,engineTemperaturePGN_65262_Builder,0x0002619c,initPgn65262EngineTempHandler,24,rare_const:0xfeee00;common_const:2;jaccard:0.43,review
0x00033f5a,FUN_00033f5a,0x0002bd58,j1939HandlePgn65264Pto,24,rare_const:0xdc;common_const:2;jaccard:0.43,review
0x0003407a,vp44CanMessage100ResponseBuilder,0x00026650,j1939BuildProtocolModeStatus,24,common_const:3;jaccard:0.75,review
0x00034a82,pwmTimerModeDispatcher,0x0052877c,processThrottlePosition,24,rare_const:0xa000;common_const:4;jaccard:0.12,review
0x0000c2ee,FUN_0000c2ee,0x00037f28,checkProtectionOutputConditions,23,common_const:1;jaccard:1.00,review
0x000114d4,validateRedundantSensors,0x00049264,processEnginePositionDiagnostics,23,common_const:5;jaccard:0.26;struct:similar,review
0x00013ed8,FUN_00013ed8,0x000008d4,diagServiceDownloadCalibration,23,common_const:1;jaccard:1.00,review
0x00014292,FUN_00014292,0x0000fe5c,calculateFuelTimingTarget,23,common_const:1;jaccard:1.00,review
0x0001709e,fuelTemperatureLimitingSecondary,0x000236b4,setGovernorHandlerDefault,23,common_const:1;jaccard:1.00,review
0x000185f0,FUN_000185f0,0x0004ef24,setEngineProtectionFault,23,common_const:1;jaccard:1.00,review
0x0001c484,FUN_0001c484,0x00023be0,sendJ1939ProprietaryStatus,23,common_const:1;jaccard:1.00,review
0x0001de58,FUN_0001de58,0x0001ec70,calculateDualAxisFuelLimit,23,common_const:4;jaccard:0.44;struct:similar,review
0x0001e04c,FUN_0001e04c,0x00531900,evaluateProtectionConditionFlag,23,common_const:1;jaccard:1.00,review
0x00021146,FUN_00021146,0x00023f4c,sendJ1939ErrorFrame,23,common_const:1;jaccard:1.00,review
0x00021b88,FUN_00021b88,0x0000191c,initService25Handler,23,common_const:1;jaccard:1.00,review
0x00024812,iahDisableWaitToStartLamp,0x000075dc,processSensorWithOverride,23,common_const:1;jaccard:1.00,review
0x00026a7e,fuelDemandTablePointersInit,0x00002170,processDiagnosticTimeout,23,common_const:1;jaccard:1.00,review
0x0002e2f4,waterInFuelDiagnosticHandler,0x00021314,calculateSpeedControlError,23,common_const:5;jaccard:0.29;struct:similar,review
0x00030498,FUN_00030498,0x00003218,enableSpiTransmitInterrupt,23,common_const:1;jaccard:1.00,review
0x00031ed2,FUN_00031ed2,0x00024664,initPgn65265CruiseSpeedHandler,23,rare_const:0xfef100;common_const:1;jaccard:0.50,review
0x000323be,engineCoolantPGN_65226_Builder,0x00024dd8,initPgn65226Dm1Handler,23,rare_const:0xfeca00;common_const:2;jaccard:0.38,review
0x0003252c,diagnosticDM2PGN_65227_Builder,0x00025000,initPgn65227Dm2Handler,23,rare_const:0xfecb00;common_const:2;jaccard:0.38,review
0x0003480e,pwmTimerMode1ChannelSetup,0x00043ddc,resetEngineTimingAccumulators,23,common_const:6;jaccard:0.26,review
0x00035076,scaleByRatioSigned,0x00001110,flashPollUntilReady,23,common_const:1;jaccard:1.00,review
0x00014dc6,faultFlagScannerAndProcessor,0x00018f8c,calculateSensorDiagnosticValue,22,common_const:4;jaccard:0.36;struct:similar,review
0x00019e90,FUN_00019e90,0x0050f9ec,updateFaultCounterWithFlag,22,common_const:2;jaccard:0.67;struct:similar,review
0x0001abb2,FUN_0001abb2,0x0000e518,hpcr_calculateFuelTrimOutput,22,common_const:3;jaccard:0.50;struct:similar,review
0x0001cb76,calculateBlendedTableValue,0x0001f03c,processActiveFaultList,22,common_const:3;jaccard:0.50;struct:similar,review
0x0001cc72,FUN_0001cc72,0x00013774,processBoostProtectionConditions,22,common_const:3;jaccard:0.50;struct:similar,review
0x00020784,FUN_00020784,0x0003c18c,selectProtectionChannelMode,22,common_const:4;jaccard:0.36;struct:similar,review
0x00021c74,FUN_00021c74,0x0051dad4,lookupAndDispatchCommand,22,common_const:2;jaccard:0.67;struct:similar,review
0x00024f30,activeFaultLampStateMachine,0x0001a9a8,processFuelDemandFaultConditions,22,common_const:4;jaccard:0.36;struct:similar,review
0x0002fbd8,FUN_0002fbd8,0x000071f8,scrambleBitPattern,22,common_const:2;jaccard:0.67;struct:similar,review
0x0000ac3c,FUN_0000ac3c,0x0001d9b8,diagnosticMainStateProcessor,21,rare_const:0x31;common_const:2;jaccard:0.12;struct:similar,review
0x0000faa6,calculateGovernorDroopSpeed,0x00020c64,processJ1939RxMessage,21,rare_const:0x8888;common_const:1;jaccard:0.40,review
0x00014872,FUN_00014872,0x0001d224,faultTableEntryProcessor,21,common_const:4;jaccard:0.31;struct:similar,review
0x00016dd4,highRpmEngineProtectionStateMachine,0x00512324,evaluateEmissionCondition,21,common_const:3;jaccard:0.60,review
0x000184c6,FUN_000184c6,0x005076cc,processFuelInjectionControl,21,rare_const:0xa7;common_const:1;jaccard:0.25;struct:similar,review
0x0001ce7c,initDiagnosticProtocol,0x00528e70,computehpcr_CbdAngleCorrection,21,rare_const:0x3c00;common_const:2;jaccard:0.10;struct:similar,review
0x0001e5f0,FUN_0001e5f0,0x00033948,calculateProtectionConditions,21,common_const:5;jaccard:0.33,review
0x00020e14,FUN_00020e14,0x0002c3c8,processProtectionControlLogic,21,common_const:3;jaccard:0.60,review
0x00022a58,vp44CanFrameBuilder,0x00005d8c,sendJ1939DiagnosticMessage,21,common_const:3;jaccard:0.60,review
0x00022ad8,vp44MessageTransmitter,0x00005e38,sendDiagAcknowledgeFrame,21,common_const:3;jaccard:0.60,review
0x00031bce,FUN_00031bce,0x00023e8c,j1939HandlePgn65269AmbientConditions,21,rare_const:0x1afa;common_const:2;jaccard:0.25,review
0x000127c2,FUN_000127c2,0x0001f40c,processTorqueLimitTiming,20,common_const:5;jaccard:0.19;common_callee:lookupTableInterpolation,review
0x000254b6,FUN_000254b6,0x0002c764,processProtectionEntry,20,common_const:4;jaccard:0.29;struct:similar,review
0x0002dcb0,oil_pressure_shutdown_controller,0x0002bbe8,updateGovernorFromProtection,20,common_const:3;jaccard:0.43;struct:similar,review
0x000338ea,dutyCycleMonitorAltIsrHandler,0x00004194,prepareDataTransferBuffer,20,common_const:3;jaccard:0.43;struct:similar,review
0x00033e58,FUN_00033e58,0x000264d8,j1939HandlePgn65270InletExhaustConditions,20,rare_const:0x1f400;common_const:1;jaccard:0.20;struct:similar,review
0x00003a94,hardwareInitAndStartup,0x0004f6f0,clearModuleSyncFlag,19,common_const:6,review
0x0000b3d0,FUN_0000b3d0,0x0050d758,initiateGovernorMode,19,common_const:2;jaccard:0.67,review
0x0000c8a0,dzgTimingAndPressureControlStateMachine,0x00013dc8,calculateThrottleFiltered,19,common_const:2;jaccard:0.40;common_callee:lookupTableInterpolation;struct:similar,review
0x0000d1a4,diagnosticStatus2Initializer,0x00503074,initGovernorModeState,19,common_const:2;jaccard:0.50;struct:similar,review
0x0000f796,paramSystemModeController,0x00020860,selectTorqueLimitStateMachine,19,common_const:3;jaccard:0.38;struct:similar,review
0x0000f99c,FUN_0000f99c,0x000209e8,calculateLoadRateOfChange,19,common_const:2;jaccard:0.67,review
0x00013d42,FUN_00013d42,0x0051d58c,processCommandQueueStateMachine,19,common_const:2;jaccard:0.50;struct:similar,review
0x00017f7c,vp44TimingFaultMonitor,0x00018904,updateFaultStatusRegisters,19,common_const:2;jaccard:0.67,review
0x00018c1c,diagnosticProtectionProcessor,0x00507fd8,evaluateLimitConditionByFlag,19,common_const:2;jaccard:0.50;struct:similar,review
0x0001c824,FUN_0001c824,0x000320e0,protectionScaledLimitCalculation,19,common_const:2;jaccard:0.67,review
0x0001ca54,fuelDemandLimitSelector11,0x00006ab8,sensorFaultDetection,19,common_const:2;jaccard:0.50;struct:similar,review
0x0001f84e,fuelDemandScaleFactorCalculator,0x00506ad4,calculateTimingOffsetWithFilter,19,common_const:2;jaccard:0.50;struct:similar,review
0x0001ffd6,j1939TorqueControlModeParser,0x00509894,updateOutputControlMask,19,common_const:3;jaccard:0.38;struct:similar,review
0x00020380,FUN_00020380,0x00509c78,handleIdleSpeedControlFlag,19,common_const:2;jaccard:0.50;struct:similar,review
0x00020c98,FUN_00020c98,0x005101cc,updateChannelProtectionCondition,19,common_const:3;jaccard:0.25;common_callee:setBitInArray;struct:similar,review
0x00024d40,faultCodeDisplayController,0x00520348,processDiagnosticStatusPackage,19,common_const:3;jaccard:0.38;struct:similar,review
0x00026340,epsDiagnosticModeHandler,0x0004256c,processGovernorSpeedSetpoint,19,common_const:2;jaccard:0.50;struct:similar,review
0x00026474,engineModeTimingAdjuster,0x000030ec,dispatchSpiHandlerByState,19,common_const:2;jaccard:0.50;struct:similar,review
0x000265e6,epsRpmTargetModeChecker,0x00021bf8,getHighestPriorityBit,19,common_const:2;jaccard:0.50;struct:similar,review
0x0002efd0,diagnosticServiceDispatcherByPgn,0x005327e8,findFaultByCode,19,common_const:2;jaccard:0.50;struct:similar,review
0x00033164,FUN_00033164,0x00025eb4,j1939HandlePgn65263FluidLevelPressure,19,rare_const:0x1afa;common_const:1;jaccard:0.33,review
0x000337c4,FUN_000337c4,0x00024b64,initPgn65234Dm11Handler,19,rare_const:0xd2;common_const:1;jaccard:0.33,review
0x000339b0,cumminsProprietaryTSC_PGN_15728640_Builder,0x000263a4,initJ1939SpeedControlMessage,19,rare_const:0xf00000;jaccard:0.33;struct:similar,review
0x000341e6,FUN_000341e6,0x0051d36c,dispatchByCommandCode,19,common_const:2;jaccard:0.67,review
0x00035088,tableLookup2D,0x00040844,calculateFuelRateFromRpm,19,common_const:3;jaccard:0.50,review
0x0000f716,FUN_0000f716,0x00020554,calculateEffectiveFuelLimit,18,rare_const:0x2655;common_const:1;jaccard:0.25,review
0x00019702,FUN_00019702,0x00522d34,updateEngineLoadDiagnostics,18,common_const:4;jaccard:0.18;struct:similar,review
0x0001cad6,FUN_0001cad6,0x0003cf68,processFaultPendingFlags,18,common_const:3;jaccard:0.30;struct:similar,review
0x000212b2,FUN_000212b2,0x005115e8,updateProtectionLockoutState,18,common_const:3;jaccard:0.30;struct:similar,review
0x00026fea,insiteFaultDetailBuilder,0x0002afd0,processProtectionControlStateMachine,18,common_const:4;jaccard:0.17;struct:similar,review
0x00030290,engineRpmHardwareTimerSetup,0x0005586c,processEngineRpmDiagnostic,18,rare_const:0x10c5;common_const:1;jaccard:0.25,review
0x00031b22,diagnosticCanResponseSender,0x00023d3c,sendJ1939AcknowledgeMessage,18,rare_const:0xe8ff00;jaccard:0.25;struct:similar,review
0x00034440,FUN_00034440,0x00026ddc,initPgn65260VehicleIdHandler,18,rare_const:0xfeec00;common_const:1;jaccard:0.29,review
0x00034c36,vp44FaultRegisterBit2Monitor,0x00000b44,updateCapabilityFlags,18,common_const:3;jaccard:0.33;struct:similar,review
0x0000af70,FUN_0000af70,0x00524858,calculateTimingPeriod,17,rare_const:0x8ca0;common_const:1;jaccard:0.20,review
0x0000b688,FUN_0000b688,0x00003d54,getDiagnosticServicePriority,17,common_const:2;jaccard:0.40;struct:similar,review
0x0001192a,FUN_0001192a,0x000074a0,processSensorFilterChain,17,common_const:2;jaccard:0.40;struct:similar,review
0x00013cc8,FUN_00013cc8,0x0001f17c,calculateFuelDemandWithTrim,17,common_const:2;jaccard:0.40;struct:similar,review
0x00018968,protectionConditionEvaluator,0x000266f8,buildProtocolModeStatusMessage,17,common_const:3;jaccard:0.43,review
0x0001a52c,FUN_0001a52c,0x00026f80,j1939FormatDm1Message,17,common_const:2;jaccard:0.40;struct:similar,review
0x0001af32,dutyCycleMonitorIsrHandler,0x0052d650,processProtectionEngage,17,common_const:3;jaccard:0.27;struct:similar,review
0x0001b30a,FUN_0001b30a,0x000191e8,processSensorMonitoringLogic,17,common_const:3;jaccard:0.43,review
0x0001d5a0,FUN_0001d5a0,0x00045ecc,calculateFuelDemandWithConditions,17,common_const:3;jaccard:0.19;common_callee:lookupTableInterpolation;struct:similar,review
0x00021982,diagnosticServiceSecurityValidator,0x0050b2e0,validateDiagnosticServiceRequest,17,common_const:2;jaccard:0.40;struct:similar,review
0x0002d216,memoryPatchingSystem,0x00038cf0,j1939ProcessPeriodicTx,17,common_const:3;jaccard:0.27;struct:similar,review
0x00032052,FUN_00032052,0x00024870,j1939HandlePgn65259ComponentId,17,common_const:2;jaccard:0.40;struct:similar,review
0x00011da6,crc16Calculate,0x00007740,sensorAcquisitionCycle,16,common_const:2;jaccard:0.50,review
0x0001266e,FUN_0001266e,0x00523790,lookupByteFromTable,16,common_const:2;jaccard:0.50,review
0x000142d4,FUN_000142d4,0x0004e14c,setTpuDutyWithTrack4,16,common_const:1;jaccard:0.50;struct:similar,review
0x0001651e,clampedDivisionCalculator,0x00014528,filterInputValue,16,common_const:2;jaccard:0.50,review
0x0001c0d4,FUN_0001c0d4,0x00007608,watchdogTimerTick,16,common_const:1;jaccard:0.50;struct:similar,review
0x0001c308,FUN_0001c308,0x000191a0,updateSensorDiagnosticFlags,16,common_const:1;jaccard:0.50;struct:similar,review
0x000229ea,messageErrorHandler,0x00005cf4,processAdcChannelGroup,16,common_const:2;jaccard:0.50,review
0x00026834,FUN_00026834,0x0003dcf4,triggerJ1939TransmitQueueProcess,16,common_const:1;jaccard:0.50;struct:similar,review
0x0002c986,FUN_0002c986,0x0002bf6c,calculateRpmLimitsFromProtection,16,common_const:2;jaccard:0.50,review
0x0002ce14,FUN_0002ce14,0x005343d0,processFaultLampLogic,16,common_const:1;jaccard:0.50;struct:similar,review
0x0002d09e,systemControl64,0x0051e2cc,processEventTimerTick,16,common_const:3;jaccard:0.20;struct:similar,review
0x0002db2a,FUN_0002db2a,0x0002abc8,initProtectionFilterState,16,common_const:1;jaccard:0.50;struct:similar,review
0x00030b62,vp44InjectionSystemStateController,0x0000c8bc,sensorChannel0_init,16,common_const:2;jaccard:0.50,review
0x00032b64,diagnosticDM8PGN_65232_Builder,0x00005400,processAdcConversionResult,16,common_const:3;jaccard:0.38,review
0x00032c22,FUN_00032c22,0x0051dc34,packFaultCountersToWords,16,common_const:1;jaccard:0.50;struct:similar,review
0x0000f8c6,param_lookup_1,0x00020a58,calculateLoadToFuelRatio,15,common_const:2;jaccard:0.33;struct:similar,review
0x00011df8,memoryPatchCrcCalculate,0x00054100,miosInterruptDispatcher,15,common_const:2;jaccard:0.33;struct:similar,review
0x00013a5c,FUN_00013a5c,0x0051a234,evaluateOilTemperatureSensorDiagnostics,15,common_const:1;jaccard:0.20;rare_callee:SUB42,review
0x000146b4,oldestDiagnosticTimestampSearch,0x0001cdc0,faultCodeLookup,15,common_const:2;jaccard:0.33;struct:similar,review
0x0001a6e8,crankFuelAndTimingBufferStore,0x0052fed8,validateCommandSequence,15,common_const:3;jaccard:0.33,review
0x0001a8a4,FUN_0001a8a4,0x00012cf4,loadBasedFuelAdjustment,15,common_const:2;jaccard:0.33;struct:similar,review
0x0001a95e,vp44FaultThresholdTablesInit,0x00511ea8,processDynamicControlState,15,common_const:2;jaccard:0.33;struct:similar,review
0x0001bf54,scheduler_init,0x0000d80c,sensorChannel14_init,15,rare_const:0x152;jaccard:0.11;struct:similar,review
0x000204b0,outputControlState1Handler,0x00006bdc,processScheduledTasks,15,common_const:2;jaccard:0.33;struct:similar,review
0x00022fae,diagnosticMessageProcessor,0x0050d0f0,j1939TransmitDataFrames,15,common_const:2;jaccard:0.33;struct:similar,review
0x00025448,periodicLampFlashController,0x00536540,processProtectionRecoveryState,15,rare_const:0x8ca0;struct:similar,review
0x00025a34,FUN_00025a34,0x00524dd0,initializeTimingState,15,common_const:3;jaccard:0.30,review
0x00026eec,insiteActiveFaultListBuilder,0x00003008,spiTransmitCompleteHandler,15,common_const:2;jaccard:0.33;struct:similar,review
0x00027cd0,FUN_00027cd0,0x00538974,synchronizeTimebase,15,rare_const:0x3e7;jaccard:0.25,review
0x00029130,FUN_00029130,0x000021d0,initDiagnosticSession,15,rare_const:0x102c;jaccard:0.14;struct:similar,review
0x000303d4,accumulatorWithOverflowCarry,0x0052c210,evaluateFaultCodeBoundary,15,rare_const:0x100000;common_const:1;jaccard:0.14,review
0x000315be,FUN_000315be,0x0051e500,processEventTimerState,15,rare_const:0x12c;common_const:1;jaccard:0.12,review
0x0003216a,diagnosticMultiPacketResponseBuilder,0x000249c4,sendJ1939ResponseFrame,15,common_const:2;jaccard:0.33;struct:similar,review
