SystemType,EFCode,Language,HelpFile
7565,120,"NL","FIS4960990.chm"
7565,120,"PT","FIS3653374.chm"
7565,120,"RU","FIS4960723.chm"
7565,120,"TR","FIS4960735.chm"
7565,120,"ZH","FIS4960564.chm"
7570,120,"DE","FIS4960987.chm"
7570,120,"EN","FIS4021677.chm"
7570,120,"ES","FIS4960747.chm"
7570,120,"FR","FIS4960729.chm"
7570,120,"IT","FIS4960988.chm"
7570,120,"KO","FIS4961012.chm"
7570,120,"NL","FIS4960990.chm"
7570,120,"PT","FIS3653374.chm"
7570,120,"RU","FIS4960723.chm"
7570,120,"TR","FIS4960735.chm"
7570,120,"ZH","FIS4960564.chm"
7575,8,"EN","FIS4021570.chm"
7575,8,"ES","FIS4018262.chm"
7575,8,"FR","FIS4960394.chm"
7575,8,"RU","FIS4960573.chm"
7575,8,"ZH","FIS4960367.chm"
7580,152,"DE","FIS2899385.chm"
7580,152,"EN","FIS2883477.chm"
7580,152,"ES","FIS2899386.chm"
7580,152,"FR","FIS2899384.chm"
7580,152,"IT","FIS2899380.chm"
7580,152,"NL","FIS4312441.chm"
7590,152,"DE","FIS2899385.chm"
7590,152,"EN","FIS2883477.chm"
7590,152,"ES","FIS2899386.chm"
7590,152,"FR","FIS2899384.chm"
7590,152,"IT","FIS2899380.chm"
7590,152,"NL","FIS4312441.chm"
7595,152,"DE","FIS2899385.chm"
7595,152,"EN","FIS2883477.chm"
7595,152,"ES","FIS2899386.chm"
7595,152,"FR","FIS2899384.chm"
7595,152,"IT","FIS2899380.chm"
7595,152,"NL","FIS4312441.chm"
7600,152,"DE","FIS2899385.chm"
7600,152,"EN","FIS2883477.chm"
7600,152,"ES","FIS2899386.chm"
7600,152,"FR","FIS2899384.chm"
7600,152,"IT","FIS2899380.chm"
7600,152,"NL","FIS4312441.chm"
7610,145,"DE","FIS4961233.chm"
7610,145,"EN","FIS4022225.chm"
7610,145,"ES","FIS4961232.chm"
7610,145,"FR","FIS4961207.chm"
7615,166,"DE","FIS4322397.chm"
7615,166,"EN","FIS4310593.chm"
7615,166,"FR","FIS4322389.chm"
7615,166,"IT","FIS4322393.chm"
7625,8,"EN","FIS4021570.chm"
7625,8,"ES","FIS4018262.chm"
7625,8,"FR","FIS4960394.chm"
7625,8,"RU","FIS4960573.chm"
7625,8,"ZH"," FIS4960367.chm"
7630,120,"DE","FIS4960987.chm"
7630,120,"EN","FIS4021677.chm"
7630,120,"ES","FIS4960747.chm"
7630,120,"FR","FIS4960729.chm"
7630,120,"IT","FIS4960988.chm"
7630,120,"KO","FIS4961012.chm"
7630,120,"NL","FIS4960990.chm"
7630,120,"PT","FIS3653374.chm"
7630,120,"RU","FIS4960723.chm"
7630,120,"TR","FIS4960735.chm"
7630,120,"ZH","FIS4960564.chm"
7635,145,"DE","FIS4961233.chm"
7635,145,"EN","FIS4022225.chm"
7635,145,"ES","FIS4961232.chm"
7635,145,"FR","FIS4961207.chm"
7640,120,"DE","FIS4960987.chm"
7640,120,"EN","FIS4021677.chm"
7640,120,"ES","FIS4960747.chm"
7640,120,"FR","FIS4960729.chm"
7640,120,"IT","FIS4960988.chm"
7640,120,"KO","FIS4961012.chm"
7640,120,"NL","FIS4960990.chm"
7640,120,"PT","FIS3653374.chm"
7640,120,"RU","FIS4960723.chm"
7640,120,"TR","FIS4960735.chm"
7640,120,"ZH","FIS4960564.chm"
7645,145,"DE","FIS4961233.chm"
7645,145,"EN","FIS4022225.chm"
7645,145,"ES","FIS4961232.chm"
7645,145,"FR","FIS4961207.chm"
9999,0,"DA","Choose_DA.chm"
9999,0,"DE","Choose_DE.chm"
9999,0,"EN","Choose_EN.chm"
9999,0,"ES","Choose_ES.chm"
9999,0,"FI","Choose_FI.chm"
9999,0,"FR","Choose_FR.chm"
9999,0,"IT","Choose_IT.chm"
9999,0,"JA","Choose_JA.chm"
9999,0,"KO","Choose_KO.chm"
9999,0,"NL","Choose_NL.chm"
9999,0,"NO","Choose_NO.chm"
9999,0,"PT","Choose_PT.chm"
9999,0,"RU","Choose_RU.chm"
9999,0,"SV","Choose_SV.chm"
9999,0,"TR","Choose_TR.chm"
9999,0,"ZH","Choose_ZH.chm"
